Wed Apr 21 23:13:03 2021    log.txt

         62433873 function calls (59490425 primitive calls) in 250.506 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       82    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       18    0.000    0.000    0.000    0.000 _parser.py:434(append)
        6    0.000    0.000    0.000    0.000 adapter.py:368(adapt)
       16    0.000    0.000    0.000    0.000 threading.py:222(__init__)
       24    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
        6    0.000    0.000    0.000    0.000 builtin_trap.py:39(__enter__)
       26    0.000    0.000    0.000    0.000 {method 'digest' of '_hashlib.HASH' objects}
       68    0.000    0.000    0.000    0.000 <string>:1(__new__)
      120    0.000    0.000    0.000    0.000 bunch.py:11(__getattr__)
        6    0.000    0.000    0.000    0.000 queues.py:225(get)
        6    0.000    0.000    0.000    0.000 _parser.py:1223(_build_naive)
       18    0.000    0.000    0.000    0.000 _parser.py:1147(_to_decimal)
        3    0.000    0.000    0.000    0.000 asyncio.py:206(call_at)
      413    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       24    0.000    0.000    0.000    0.000 inputtransformer2.py:106(_find_assign_op)
        6    0.000    0.000    0.000    0.000 _parser.py:239(__len__)
        4    0.000    0.000    0.000    0.000 splitinput.py:53(split_user_input)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
       18    0.000    0.000    0.000    0.000 traitlets.py:2950(validate)
       60    0.000    0.000    0.000    0.000 types.py:171(__get__)
       20    0.000    0.000    0.000    0.000 session.py:742(<listcomp>)
        4    0.000    0.000    0.000    0.000 queue.py:121(put)
       12    0.000    0.000    0.000    0.000 _parser.py:1012(_find_hms_idx)
        6    0.000    0.000    0.000    0.000 builtin_trap.py:72(activate)
        2    0.000    0.000    0.000    0.000 ipkernel.py:177(_forward_input)
        2    0.000    0.000    0.000    0.000 compilerop.py:96(ast_parse)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
       16    0.000    0.000    0.000    0.000 gen.py:551(maybe_future)
       99    0.000    0.000    0.000    0.000 wheel_controller.py:137(getWheelIndexes)
       28    0.000    0.000    0.000    0.000 __init__.py:1412(debug)
      168    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
        6    0.000    0.000    0.000    0.000 inputtransformer2.py:214(find)
        6    0.000    0.000    0.000    0.000 builtin_trap.py:46(__exit__)
        6    0.000    0.000    0.000    0.000 session.py:861(_add_digest)
       40    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
        2    0.000    0.000    0.000    0.000 ipkernel.py:150(init_metadata)
        4    0.000    0.000    0.000    0.000 prefilter.py:458(check)
       67    0.000    0.000    0.000    0.000 queue.py:208(_qsize)
       10    0.000    0.000    0.000    0.000 threading.py:341(notify)
       12    0.000    0.000    0.000    0.000 _parser.py:1062(_could_be_tzname)
        3    0.000    0.000    0.000    0.000 base_events.py:671(call_later)
        4    0.000    0.000    0.000    0.000 queue.py:153(get)
        6    0.000    0.000    0.000    0.000 _parser.py:227(__init__)
       28    0.000    0.000    0.000    0.000 weakref.py:382(__getitem__)
       17    0.000    0.000    0.000    0.000 selector_events.py:584(_process_events)
